Year,Months,Values,
2000,January,0,93
2000,February,0,
2000,March,0,
2000,April,0,
2000,May,0,
2000,June,0,
2000,July,15,
2000,August,33,
2000,September,18,
2000,October,14,
2000,November,11,
2000,December,2,
2001,January,0,
2001,February,0,
2001,March,0,
2001,April,0,
2001,May,0,
2001,June,1,
2001,July,0,
2001,August,6,
2001,September,11,
2001,October,7,
2001,November,14,
2001,December,5,
2002,January,0,
2002,February,0,
2002,March,0,
2002,April,0,
2002,May,0,
2002,June,0,
2002,July,12,
2002,August,28,
2002,September,10,
2002,October,7,
2002,November,1,
2002,December,0,
2003,January,0,
2003,February,0,
2003,March,0,
2003,April,0,
2003,May,0,
2003,June,0,
2003,July,0,
2003,August,0,
2003,September,0,
2003,October,0,
2003,November,8,
2003,December,2,
2004,January,0,
2004,February,0,
2004,March,0,
2004,April,0,
2004,May,0,
2004,June,0,
2004,July,4,
2004,August,1,
2004,September,4,
2004,October,3,
2004,November,1,
2004,December,0,
2005,January,0,
2005,February,0,
2005,March,0,
2005,April,0,
2005,May,0,
2005,June,0,
2005,July,0,
2005,August,0,
2005,September,1,
2005,October,1,
2005,November,2,
2005,December,0,
2006,January,0,
2006,February,0,
2006,March,0,
2006,April,0,
2006,May,0,
2006,June,1,
2006,July,1,
2006,August,1,
2006,September,6,
2006,October,1,
2006,November,1,
2006,December,0,
2007,January,0,
2007,February,0,
2007,March,0,
2007,April,0,
2007,May,0,
2007,June,0,
2007,July,0,
2007,August,0,
2007,September,0,
2007,October,0,
2007,November,0,
2007,December,0,
2008,January,0,
2008,February,0,
2008,March,0,
2008,April,0,
2008,May,0,
2008,June,0,
2008,July,0,
2008,August,0,
2008,September,0,
2008,October,0,
2008,November,0,
2008,December,0,
2009,January,0,
2009,February,0,
2009,March,0,
2009,April,0,
2009,May,0,
2009,June,0,
2009,July,0,
2009,August,0,
2009,September,0,
2009,October,0,
2009,November,0,
2009,December,0,
2010,January,0,
2010,February,0,
2010,March,0,
2010,April,0,
2010,May,0,
2010,June,0,
2010,July,0,
2010,August,0,
2010,September,0,
2010,October,0,
2010,November,0,
2010,December,0,
2011,January,0,
2011,February,0,
2011,March,0,
2011,April,0,
2011,May,0,
2011,June,0,
2011,July,0,
2011,August,0,
2011,September,0,
2011,October,0,
2011,November,0,
2011,December,0,
2012,January,0,
2012,February,0,
2012,March,0,
2012,April,0,
2012,May,0,
2012,June,0,
2012,July,0,
2012,August,0,
2012,September,0,
2012,October,0,
2012,November,0,
2012,December,0,
2013,January,0,
2013,February,0,
2013,March,0,
2013,April,0,
2013,May,0,
2013,June,0,
2013,July,0,
2013,August,0,
2013,September,0,
2013,October,0,
2013,November,0,
2013,December,0,
2014,January,0,
2014,February,0,
2014,March,0,
2014,April,0,
2014,May,0,
2014,June,0,
2014,July,0,
2014,August,0,
2014,September,0,
2014,October,0,
2014,November,0,
2014,December,0,
2015,January,0,
2015,February,0,
2015,March,0,
2015,April,0,
2015,May,0,
2015,June,0,
2015,July,0,
2015,August,0,
2015,September,0,
2015,October,0,
2015,November,0,
2015,December,0,
2016,January,0,
2016,February,0,
2016,March,0,
2016,April,0,
2016,May,0,
2016,June,0,
2016,July,0,
2016,August,0,
2016,September,0,
2016,October,0,
2016,November,0,
2016,December,0,
2017,January,0,
2017,February,0,
2017,March,0,
2017,April,0,
2017,May,0,
2017,June,0,
2017,July,0,
2017,August,0,
2017,September,0,
2017,October,0,
2017,November,0,
2017,December,0,
2018,January,0,
2018,February,0,
2018,March,0,
2018,April,0,
2018,May,0,
2018,June,0,
2018,July,0,
2018,August,0,
2018,September,0,
2018,October,0,
2018,November,0,
2018,December,0,
2019,January,0,
2019,February,0,
2019,March,0,
2019,April,2,
2019,May,0,
2019,June,6,
2019,July,35,
2019,August,83,
2019,September,25,
2019,October,11,
2019,November,2,
2019,December,0,
2020,January,0,
2020,February,0,
2020,March,0,
2020,April,0,
2020,May,0,
2020,June,0,
2020,July,0,
2020,August,0,
2020,September,0,
2020,October,0,
2020,November,0,
2020,December,0,
2021,January,0,
2021,February,0,
2021,March,0,
2021,April,0,
2021,May,0,
2021,June,0,
2021,July,12,
2021,August,34,
2021,September,23,
2021,October,22,
2021,November,7,
2021,December,7,
2022,January,0,
2022,February,0,
2022,March,0,
2022,April,0,
2022,May,0,
2022,June,1,
2022,July,9,
2022,August,11,
2022,September,34,
2022,October,86,
2022,November,113,
2022,December,13,
