Year,Month,Rainfall,RH,MaxT,MinT,AvgT,DC,DD
2000,1,,,,,,0,
2000,2,,,,,,0,
2000,3,,,,,,0,
2000,4,,,,,,0,
2000,5,,,,,,0,
2000,6,,,,,,0,
2000,7,,,,,,565,
2000,8,,,,,,2290,
2000,9,,,,,,951,
2000,10,,,,,,835,
2000,11,,,,,,724,
2000,12,,,,,,186,
2001,1,,,,,,0,
2001,2,,,,,,0,
2001,3,,,,,,0,
2001,4,,,,,,0,
2001,5,,,,,,5,
2001,6,,,,,,24,
2001,7,,,,,,152,
2001,8,,,,,,310,
2001,9,,,,,,655,
2001,10,,,,,,611,
2001,11,,,,,,514,
2001,12,,,,,,159,
2002,1,,,,,,0,
2002,2,,,,,,0,
2002,3,,,,,,0,
2002,4,,,,,,0,
2002,5,,,,,,0,
2002,6,,,,,,0,
2002,7,,,,,,566,
2002,8,,,,,,3281,
2002,9,,,,,,1713,
2002,10,,,,,,541,
2002,11,,,,,,121,
2002,12,,,,,,10,
2003,1,0,75.41129032,21.8,11.7,16.75,0,0
2003,2,23.4,65.67410714,28,16.9,22.45,0,0
2003,3,106.8,65.43145161,30,19.4,24.7,0,0
2003,4,101.6,70.87916667,34,24.1,29.05,2,0
2003,5,140.9,73.33467742,34,24.4,29.2,1,0
2003,6,493.8,82.3,31.4,25.8,28.6,0,0
2003,7,169.5,79.50403226,32.4,26.4,29.4,4,0
2003,8,195.5,79.34274194,32.5,26.6,29.55,4,0
2003,9,264.5,83.16666667,31.7,24.9,28.3,3,0
2003,10,133.6,80.75,31.2,25,28.1,0,0
2003,11,0,67.375,29.8,19.4,24.6,372,8
2003,12,44.7,72.61290323,25.9,16.4,21.15,100,2
2004,1,0,73.51209677,23.5,14,18.75,0,0
2004,2,0,61.00862069,28.3,16,22.15,0,0
2004,3,7.6,63.24596774,32.8,22.4,27.6,1,0
2004,4,166.9,72.93333333,32.6,23.9,28.25,0,0
2004,5,161.4,68.01612903,35.1,26.3,30.7,1,0
2004,6,476.7,81.55,32.2,25,28.6,143,0
2004,7,296.8,82.31451613,31.5,25.4,28.45,1209,4
2004,8,189.2,79.03225806,32.3,26.5,29.4,1261,1
2004,9,831,85.9625,30.4,25.5,27.95,511,4
2004,10,213.8,75.31048387,31,23.3,27.15,362,3
2004,11,0,69.525,29.5,18.6,24.05,395,1
2004,12,0,70.50403226,27,16.2,21.6,51,0
2005,1,3.4,68.75403226,24.5,14.2,19.35,1,0
2005,2,2.2,61.04910714,29.1,18.3,23.7,0,0
2005,3,160.3,66.68951613,32.2,22.4,27.3,0,0
2005,4,86.6,67.00416667,34.4,24.1,29.25,0,0
2005,5,293.7,74.43548387,33.2,24.2,28.7,0,0
2005,6,253.5,79.78333333,33.4,26.8,30.1,2,0
2005,7,541.9,81.60080645,31.5,25.8,28.65,3,0
2005,8,380.5,83.2983871,32.1,26.7,29.4,174,0
2005,9,629.4,82.1625,32.8,26,29.4,337,1
2005,10,327.4,80.96774194,30.6,24.4,27.5,325,1
2005,11,3,72.775,29.1,19.8,24.45,187,2
2005,12,0.4,67.05645161,27.1,15.7,21.4,19,0
2006,1,0,69.41532258,25.3,13.5,19.4,0,0
2006,2,0,65.69196429,31.3,19.4,25.35,0,0
2006,3,0,54.33870968,33.2,21.9,27.55,0,0
2006,4,185.1,68.32916667,33.7,23.8,28.75,0,0
2006,5,208.4,73.12096774,33.8,25,29.4,0,0
2006,6,321.4,82.00416667,32.4,26.1,29.25,100,1
2006,7,328.9,80.43548387,32.4,26.7,29.55,972,1
2006,8,174.6,77.68145161,32.5,26.5,29.5,680,1
2006,9,656.3,81.17916667,31.9,25.8,28.85,211,6
2006,10,88.8,76.66129032,32.3,24.7,28.5,145,1
2006,11,5.3,68.7,29.7,19.9,24.8,92,1
2006,12,0,69.65322581,26.9,15.8,21.35,0,0
2007,1,0,68.48790323,24.6,12.5,18.55,0,0
2007,2,29.6,69.47321429,27.1,16.8,21.95,0,0
2007,3,9.9,55.0766129,31.5,19.6,25.55,0,0
2007,4,172.3,70.01666667,33.7,23.7,28.7,0,0
2007,5,313.1,71.34274194,34.8,25.9,30.35,0,0
2007,6,631.4,81.47916667,32.5,25.5,29,0,0
2007,7,818.5,84.94758065,31.5,25.8,28.65,85,0
